开始节点,关系,结束节点,text
串行通信,包含,串行同步通信,串行通信又分为串行同步通信和串行异步通信。
串行通信,包含,串行异步通信,串行通信又分为串行同步通信和串行异步通信。
帧格式定义,等价,串行异步通信,串行异步通信等价于帧格式定义。
串行通信,包含,串行通信方式,串行通信还包含串行通信方式、串行通信接口标准、串口波特率的概念。
串行通信,包含,串行通信接口标准,串行通信还包含串行通信方式、串行通信接口标准、串口波特率的概念。
串行通信,包含,串口波特率的概念,串行通信还包含串行通信方式、串行通信接口标准、串口波特率的概念。
串行通信方式,包含,单工通信,串行通信方式有三个：单工通信、半双工通信和全双工通信。
串行通信方式,包含,半双工通信,串行通信方式有三个：单工通信、半双工通信和全双工通信。
串行通信方式,包含,全双工通信,串行通信方式有三个：单工通信、半双工通信和全双工通信。
串行通信接口标准,包含,RS232接口定义,串行通信接口标准包含了RS232接口定义、RS232接口电路和RS232转串口电路。
串行通信接口标准,包含,RS232接口电路,串行通信接口标准包含了RS232接口定义、RS232接口电路和RS232转串口电路。
串行通信接口标准,包含,RS232转串口电路,串行通信接口标准包含了RS232接口定义、RS232接口电路和RS232转串口电路。
串口波特率,包含,串口波特率定义,串口波特率包含了串口波特率定义和串口波特率计算。
串口波特率,包含,串口波特率计算,串口波特率包含了串口波特率定义和串口波特率计算。
串口工作方式,类型,串口工作方式0,串口工作方式有四种，分别是串口工作方式1、串口工作方式2、串口工作方式3、串口工作方式0。
串口工作方式,类型,串口工作方式1,串口工作方式有四种，分别是串口工作方式1、串口工作方式2、串口工作方式3、串口工作方式0。
串口工作方式,类型,串口工作方式2,串口工作方式有四种，分别是串口工作方式1、串口工作方式2、串口工作方式3、串口工作方式0。
串口工作方式,类型,串口工作方式3,串口工作方式有四种，分别是串口工作方式1、串口工作方式2、串口工作方式3、串口工作方式0。
串口引脚,包含,TXD,串口引脚包含了TXD和RXD。
串口引脚,包含,RXD,串口引脚包含了TXD和RXD。
SBUF,相关,TXD,TXD和RXD均与SBUF有关。
SBUF,相关,RXD,TXD和RXD均与SBUF有关。
串口结构,包含,串口控制寄存器,串口结构中，包含了串口控制寄存器、串口数据缓冲器、串口发送控制器、串口接收控制器、输入移位寄存器和波特率发生器。
串口结构,包含,串口数据缓冲器,串口结构中，包含了串口控制寄存器、串口数据缓冲器、串口发送控制器、串口接收控制器、输入移位寄存器和波特率发生器。
串口结构,包含,串口发送控制器,串口结构中，包含了串口控制寄存器、串口数据缓冲器、串口发送控制器、串口接收控制器、输入移位寄存器和波特率发生器。
串口结构,包含,串口接收控制器,串口结构中，包含了串口控制寄存器、串口数据缓冲器、串口发送控制器、串口接收控制器、输入移位寄存器和波特率发生器。
串口结构,包含,输入移位寄存器,串口结构中，包含了串口控制寄存器、串口数据缓冲器、串口发送控制器、串口接收控制器、输入移位寄存器和波特率发生器。
串口结构,包含,波特率发生器,串口结构中，包含了串口控制寄存器、串口数据缓冲器、串口发送控制器、串口接收控制器、输入移位寄存器和波特率发生器。
串口控制寄存器,等价,SCON,其中，串口控制寄存器等价于SCON。
串口数据缓冲器,等价,SBUF,串口数据缓冲器等价于SBUF。
串口发送控制器,控制,串口数据缓冲器,串口发送控制器能够控制串口数据缓冲器。
串口接收控制器,控制,串口数据缓冲器,串口接收控制器能够控制串口数据缓冲器。
串口控制寄存器,控制,串口发送控制器,串口控制寄存器能够控制串口发送控制器和串口接收控制器。
串口控制寄存器,控制,串口接收控制器,串口控制寄存器能够控制串口发送控制器和串口接收控制器。
串口接收控制器,控制,输入移位寄存器,串口接收控制器控制输入移位寄存器。
波特率发生器,相关,串口发送控制器,波特率发生器与串口发送控制器、串口接收控制器有关。
波特率发生器,相关,串口接收控制器,波特率发生器与串口发送控制器、串口接收控制器有关。
串口编程,包含,串口初始化,串口编程的过程包括了串口初始化和串口函数。
串口编程,包含,串口函数,串口编程的过程包括了串口初始化和串口函数。
串口初始化,相关,串口函数,串口初始化和串口函数相关。
定时计数器,包含,定时计数器编程,定时计数器主要包含了五个部分：定时计数器编程、定时计数器内部结构、定时计数器引脚、定时计数器工作方式和定时计数器控制寄存器。
定时计数器,包含,定时计数器内部结构,定时计数器主要包含了五个部分：定时计数器编程、定时计数器内部结构、定时计数器引脚、定时计数器工作方式和定时计数器控制寄存器。
定时计数器,包含,定时计数器控制寄存器,定时计数器主要包含了五个部分：定时计数器编程、定时计数器内部结构、定时计数器引脚、定时计数器工作方式和定时计数器控制寄存器。
定时计数器,包含,定时计数器引脚,定时计数器主要包含了五个部分：定时计数器编程、定时计数器内部结构、定时计数器引脚、定时计数器工作方式和定时计数器控制寄存器。
定时计数器,包含,定时计数器工作方式,定时计数器主要包含了五个部分：定时计数器编程、定时计数器内部结构、定时计数器引脚、定时计数器工作方式和定时计数器控制寄存器。
定时计数器编程,包含,定时计数器初始化,定时计数器编程又包含了定时计数器初始化和定时计数器函数。
定时计数器编程,包含,定时计数器函数,定时计数器编程又包含了定时计数器初始化和定时计数器函数。
定时计数器初始化,相关,定时计数器函数,定时计数器初始化和定时计数器函数有关。
定时计数器初始化,赋值,定时计数器初值计算,定时计数器初始化能够对定时计数器初值计算、TCON、TMOD进行赋值。
定时计数器初始化,赋值,TCON,定时计数器初始化能够对定时计数器初值计算、TCON、TMOD进行赋值。
定时计数器初始化,赋值,TMOD,定时计数器初始化能够对定时计数器初值计算、TCON、TMOD进行赋值。
定时计数器内部结构,包含,TMOD,定时计数器内部结构包括了TCON、TMOD、定时计数器T0和定时计数器T1。
定时计数器内部结构,包含,TCON,定时计数器内部结构包括了TCON、TMOD、定时计数器T0和定时计数器T1。
定时计数器内部结构,包含,定时计数器T1,定时计数器内部结构包括了TCON、TMOD、定时计数器T0和定时计数器T1。
定时计数器内部结构,包含,定时计数器T0,定时计数器内部结构包括了TCON、TMOD、定时计数器T0和定时计数器T1。
TCON,控制,定时计数器T0,TCON能够控制定时计数器T0和定时计数器T1。
TCON,控制,定时计数器T1,TCON能够控制定时计数器T0和定时计数器T1。
TMOD,控制,定时计数器T0,TMOD能够控制定时计数器T0和定时计数器T1。
TMOD,控制,定时计数器T1,TMOD能够控制定时计数器T0和定时计数器T1。
定时计数器工作方式,类型,定时计数器工作方式0,定时计数器工作方式有四种类型：定时计数器工作方式0、定时计数器工作方式1、定时计数器工作方式2、定时计数器工作方式3。
定时计数器工作方式,类型,定时计数器工作方式1,定时计数器工作方式有四种类型：定时计数器工作方式0、定时计数器工作方式1、定时计数器工作方式2、定时计数器工作方式3。
定时计数器工作方式,类型,定时计数器工作方式2,定时计数器工作方式有四种类型：定时计数器工作方式0、定时计数器工作方式1、定时计数器工作方式2、定时计数器工作方式3。
定时计数器工作方式,类型,定时计数器工作方式3,定时计数器工作方式有四种类型：定时计数器工作方式0、定时计数器工作方式1、定时计数器工作方式2、定时计数器工作方式3。
定时计数器控制寄存器,包含,TCON,定时计数器控制寄存器包含了TCON、TMOD。
定时计数器控制寄存器,包含,TMOD,定时计数器控制寄存器包含了TCON、TMOD。
TCON,位标志,TF0,TCON的位标志有TF0和TF1。
TCON,位标志,TF1,TCON的位标志有TF0和TF1。
中断系统,包含,中断应用,中断系统包含了中断应用、中断源、中断允许寄存器、中断优先寄存器、中断优先级。
中断系统,包含,中断允许寄存器,中断系统包含了中断应用、中断源、中断允许寄存器、中断优先寄存器、中断优先级。
中断系统,包含,中断优先寄存器,中断系统包含了中断应用、中断源、中断允许寄存器、中断优先寄存器、中断优先级。
中断系统,包含,中断优先级,中断系统包含了中断应用、中断源、中断允许寄存器、中断优先寄存器、中断优先级。
